RouteId,RouteVarId,RouteVarName,RouteVarShortName,RouteNo,StartStop,EndStop,Distance,Outbound,RunningTime
3,5,Lượt đi: Bến Thành - Thạnh Lộc,Thạnh Lộc,03,Bến xe buýt Sài Gòn,THẠNH LỘC,21456.000000000007,True,70
3,6,Lượt về: Thạnh Lộc - Bến Thành,Bến Thành,03,THẠNH LỘC,Bến xe buýt Sài Gòn,21704.0,False,70
1,1,Lượt đi: Bến Thành - BX Chợ Lớn,Bến Xe buýt Chợ Lớn,01,Công Trường Mê Linh,Bến xe Chợ Lớn,8381.0,True,35
1,2,Lượt về: BX Chợ Lớn - Bến Thành,Bến Thành,01,Bến xe Chợ Lớn,Công Trường Mê Linh,9457.999999999998,False,35
7,13,Lượt đi: Bến xe Chợ Lớn - Gò vấp,Gò vấp,07,Bến xe Chợ Lớn,BÃI HẬU CẦN SỐ 1,15907.0,True,70
7,14,Lượt về: Gò vấp - Bến xe Chợ Lớn,Bến Xe Buýt Chợ Lớn,07,BÃI HẬU CẦN SỐ 1,Bến xe Chợ Lớn,14954.999999999998,False,70
4,7,Lượt đi: Công viên 23/9 - An Sương,Bến Xe An Sương,04,Bến xe buýt Sài Gòn,Bến xe An Sương,16897.0,True,65
4,8,Lượt về: An Sương - Công viên 23/9,Bến Thành,04,Bến xe An Sương,Bến xe buýt Sài Gòn,15480.999999999996,False,65
6,1,Lượt đi: Bến xe Chợ Lớn - Đại học Nông Lâm,Đại học Nông Lâm,06,Bến xe Chợ Lớn,Đại học Nông Lâm,27023.000000000004,True,80
6,2,Lượt về: Đại học Nông Lâm - Bến xe Chợ Lớn,Bến Xe Buýt Chợ Lớn,06,Đại học Nông Lâm,Bến xe Chợ Lớn,26876.999999999996,False,80
5,1,Lượt đi: BX Biên Hòa - BX Chợ Lớn,Bến Xe buýt Chợ Lớn,05,Bến xe Biên Hòa,Bến xe Chợ Lớn,35165.99999999998,False,100
5,2,Lượt về: BX Chợ Lớn - BX Biên Hòa,Bến xe Biên Hòa,05,Bến xe Chợ Lớn,Bến xe Biên Hòa,35566.000000000015,True,100
8,15,Lượt đi: Bến xe Quận 8 - Đại học Quốc Gia,Đại học Quốc Gia,08,Bến xe buýt Quận 8,Đại học Quốc gia,31772.000000000004,True,90
8,16,Lượt về: Đại học Quốc Gia - Bến xe Quận 8,Bến Xe Buýt Quận 8,08,Đại học Quốc gia,Bến xe buýt Quận 8,31940.000000000004,False,90
9,1,Lượt đi: Bến xe Chợ Lớn - Hưng Long,Hưng Long,09,Bến xe Chợ Lớn,Hưng Long,26254.0,True,70
9,2,Lượt về: Hưng Long - Bến xe Chợ Lớn,Bến Xe Buýt Chợ Lớn,09,Hưng Long,Bến xe Chợ Lớn,25600.000000000004,False,70
10,19,Lượt đi: Đại học Quốc gia - Bến xe Miền Tây,Bến xe Miền Tây,10,Đại học Quốc gia,Bến xe Miền Tây,30345.999999999993,True,80
10,20,Lượt về: Bến xe Miền Tây - Đại học Quốc gia,Đại học Quốc Gia,10,Bến xe Miền Tây,Đại học Quốc gia,30411.0,False,80
11,1,Lượt đi: Bến xe Củ Chi - Cầu Tân Thái,Cầu Tân Thái,100,Bến xe Củ Chi,Cầu Tân Thái,16426.000000000004,True,35
11,2,Lượt về: Cầu Tân Thái - Bến xe Củ Chi,Bến Xe Củ Chi,100,Cầu Tân Thái,Bến xe Củ Chi,17247.0,False,35
13,25,Lượt đi: Bến Thành - Bến xe Miền Tây,Bến xe Miền Tây,102,Bến xe buýt Sài Gòn,Bến xe Miền Tây,32727.000000000004,True,80
13,26,Lượt về: Bến xe Miền Tây -  Bến Thành,Bến Xe Buýt Sài Gòn,102,Bến xe Miền Tây,Bến xe buýt Sài Gòn,33369.99999999999,False,80
12,1,Lượt đi: Bến xe Chợ Lớn - Tân Nhựt,Chợ Tân Nhựt,101,Bến xe buýt Chợ Lớn - B,Tân Nhựt,19377.0,True,55
12,2,Lượt về: Tân Nhựt - Bến xe Chợ Lớn,Bến Xe Buýt Chợ Lớn,101,Tân Nhựt,Bến xe buýt Chợ Lớn - B,19522.000000000004,False,55
14,1,Lượt đi: Bến xe buýt Chợ Lớn A - Bến xe Ngã tư Ga,Bến xe Ngã 4 Ga,103,Bến xe buýt Chợ Lớn - A,Bến xe Ngã tư Ga,25371.00000000001,True,75
14,2,Lượt về: Bến xe Ngã tư Ga - Bến xe buýt Chợ Lớn A,Bến Xe Buýt Chợ Lớn,103,Bến xe Ngã tư Ga,Bến xe buýt Chợ Lớn - A,22386.0,False,75
15,29,Lượt đi: Bến xe An Sương - Đại học Nông Lâm,Đại học Nông Lâm,104,Bến xe An Sương,Đại học Nông Lâm,30180.000000000007,True,75
15,30,Lượt về: Đại học Nông Lâm - Bến xe An Sương,Bến xe An Sương,104,Đại học Nông Lâm,Bến xe An Sương,30845.0,False,75
16,31,Lượt đi: Bến xe Củ Chi - Bố Heo,Bố Heo,107,Bến xe Củ Chi,Bố Heo,16228.999999999998,True,30
16,32,Lượt về: Bố Heo - Bến xe Củ Chi,Bến xe Củ Chi,107,Bố Heo,Bến xe Củ Chi,16914.0,False,30
199,1,Lượt đi: Bến xe buýt Sài Gòn - Sân bay Tân Sơn Nhất,Sân bay Tân Sơn Nhất,109,Bến xe buýt Sài Gòn,Sân bay Tân Sơn Nhất,9224.000000000005,True,45
199,2,Lượt về: Sân bay Tân Sơn Nhất - Bến xe buýt Sài Gòn,Bến Xe Buýt Sài Gòn,109,Sân bay Tân Sơn Nhất,Bến xe buýt Sài Gòn,9134.999999999998,False,45
18,1,Lượt đi: Hiệp Phước - Phước Lộc,Phước Lộc,110,Hiệp Phước,Phước Lộc,22830.000000000007,True,65
18,2,Lượt về: Phước Lộc - Hiệp Phước,Hiệp Phước,110,Phước Lộc,Hiệp Phước,23129.0,False,65
198,1,TĐH xe buýt Sài Gòn - TĐH xe buýt Sài Gòn,TĐH xe buýt Sài Gòn - TĐH xe buýt Sài Gòn,120,Bến xe buýt Sài Gòn,Bến xe buýt Sài Gòn,11825.000000000002,True,55
20,39,Lượt đi: Bến xe An Sương - Tân Quy,Tân Quy,122,Bến xe An Sương,Bến xe buýt Tân Quy,19418.0,True,50
20,40,Lượt về: Tân Quy - Bến xe An Sương,Bến xe An Sương,122,Bến xe buýt Tân Quy,Bến xe An Sương,18655.999999999996,False,50
21,41,Phú Mỹ Hưng (khi H) - Quận 1,Quận 1,123,Trường Nam Sài Gòn,Hồ Huấn Nghiệp,8285.0,True,29
21,42,Quận 1 - Phú Mỹ Hưng (khi H),Phú Mỹ Hưng (khi H),123,Hồ Huấn Nghiệp,Trường Nam Sài Gòn,8762.0,False,29
22,43,Phú Mỹ Hưng (khu S) - Quận 1,Quận 1,124,Mỹ Thái 2,Hồ Huấn Nghiệp,10738.0,True,44
22,44,Quận 1 - Phú Mỹ Hưng (khu S),Phú Mỹ Hưng (khu S),124,Hồ Huấn Nghiệp,Mỹ Thái 2,11424.0,False,44
23,45,Lượt đi: Bến xe Củ Chi - Bình Mỹ,Bình Mỹ,126,Bến xe Củ Chi,Bến xe Bình Mỹ,20311.999999999996,True,40
23,46,Lượt về: Bình Mỹ - Bến xe Củ Chi,Bến xe Củ Chi,126,Bến xe Bình Mỹ,Bến xe Củ Chi,19567.000000000015,False,40
178,1,Lượt đi: An Thới Đông - Bà Xán,Ngã ba Bà Xán,127,An Thới Đông,Bà Xán,18045.999999999993,True,40
178,2,Lượt về: Bà Xán - An Thới Đông,An Thới Đông,127,Bà Xán,An Thới Đông,17975.999999999993,False,40
179,1,Lượt đi: Tân Điền - An Nghĩa,An Nghĩa,128,Tân Điền,An Nghĩa,24688.0,True,50
179,2,Lượt về: An Nghĩa - Tân Điền,Tân Điền,128,An Nghĩa,Tân Điền,24992.0,False,50
24,47,Lượt đi: Bến xe buýt Sài Gòn - Bến xe Củ Chi,Bến xe Củ Chi,13,Bến xe buýt Sài Gòn,Bến xe Củ Chi,36607.99999999999,True,80
24,48,Lượt về: Bến xe Củ Chi - Bến xe buýt Sài Gòn,Bến Xe Buýt Sài Gòn,13,Bến xe Củ Chi,Bến xe buýt Sài Gòn,35276.00000000001,False,80
25,1,Lượt đi: Bến xe Miền Tây - Phú Xuân,Khu Tái Định Cư Phú Mỹ,139,Bến xe Miền Tây,Phú Xuân,21878.000000000004,True,70
25,2,Lượt về: Phú Xuân - Bến xe Miền Tây,Bến xe Miền Tây,139,Phú Xuân,Bến xe Miền Tây,21907.000000000007,False,70
26,1,Lượt đi: Bến xe Miền Đông - Bến xe Miền Tây,Bến xe Miền Tây,14,Bến xe Miền Đông,Bến xe Miền Tây,16160.999999999995,True,60
26,2,Lượt về: Bến xe Miền Tây - Bến xe Miền Đông,Bến xe Miền Đông,14,Bến xe Miền Tây,Bến xe Miền Đông,16058.000000000002,False,60
27,53,Lượt đi: Công viên 23/9 - Phạm Thế Hiển - Khu Dân Cư Phú Lợi,Khu Dân Cư Phú Lợi,140,Bến xe buýt Sài Gòn,Ba Tơ,18468.99999999999,True,60
27,54,Lượt về: Khu Dân Cư Phú Lợi - Phạm Thế Hiển - Công viên 23/9,Bến Xe Buýt Sài Gòn,140,Ba Tơ,Bến xe buýt Sài Gòn,18885.0,False,60
28,55,Lượt đi: KDL BCR - KCX Linh Trung,Khu chế xuất Linh Trung II,141,KDL BCR,Bến xe buýt Khu chế xuất Linh Trung 2,21183.000000000015,True,65
28,56,Lượt về: KCX Linh Trung - KDL BCR,Khu du lịch BCR,141,Bến xe buýt Khu chế xuất Linh Trung 2,KDL BCR,21238.0,False,65
30,59,Lượt đi: Bến xe Chợ Lớn - Chợ Hiệp Thành,Chợ Hiệp Thành,145,Bến xe buýt Chợ Lớn - B,Bến xe buýt Hiệp Thành,22906.000000000007,True,70
30,60,Lượt về: Chợ Hiệp Thành - Bến xe Chợ Lớn,Bến Xe Buýt Chợ Lớn,145,Bến xe buýt Hiệp Thành,Bến xe buýt Chợ Lớn - B,23432.999999999993,False,70
31,63,Lượt đi: Bến xe Miền Đông - Bến xe buýt Hiệp Thành,Chợ Hiệp Thành,146,Bến xe Miền Đông,Bến xe buýt Hiệp Thành,19421.000000000004,True,65
31,64,Lượt về: Bến xe buýt Hiệp Thành - Bến xe Miền Đông,Bến Xe Miền Đông,146,Bến xe buýt Hiệp Thành,Bến xe Miền Đông,20090.0,False,65
32,1,Lượt đi: Bến xe Miền Tây - BÃI HẬU CẦN SỐ 1,Gò Vấp,148,Bến xe Miền Tây,BÃI HẬU CẦN SỐ 1,15924.0,True,62
32,2,Lượt về: BÃI HẬU CẦN SỐ 1 - Bến xe Miền Tây,Bến xe Miền Tây,148,BÃI HẬU CẦN SỐ 1,Bến xe Miền Tây,18062.000000000004,False,62
34,67,Lượt đi: Đường 44 - BÃI XE BUÝT ĐẦM SEN,Đầm Sen,15,Đường 44,Bến xe buýt Đầm Sen,17134.0,True,55
34,68,Lượt về: Bến xe buýt Đầm Sen - Bến Phú Định,Chợ Phú Định,15,Bến xe buýt Đầm Sen,Đường 44,17992.0,False,55
35,69,Lượt đi: Bến xe Chợ Lớn - Ngã 3 Tân Vạn,Ngã 3 Tân Vạn,150,Bến xe Chợ Lớn,Tân Vạn,35094.0,True,80
35,70,Lượt về: Ngã 3 Tân Vạn - Bến xe Chợ Lớn,Bến xe buýt Chợ Lớn,150,Tân Vạn,Bến xe Chợ Lớn,28835.0,False,80
36,1,Lượt đi: Bến xe Miền Tây - Bến xe An Sương,Bến xe An Sương,151,Bến xe Miền Tây,Bến xe An Sương,18162.0,True,50
36,2,Lượt về: Bến xe An Sương - Bến xe Miền Tây,Bến xe Miền Tây,151,Bến xe An Sương,Bến xe Miền Tây,16854.0,False,50
37,73,Lượt đi: Khu dân cư Trung Sơn - Bến Thành - Sân bay Tân Sơn Nhất,Sân bay Tân Sơn Nhất,152,Khu dân cư Trung Sơn,Sân bay Tân Sơn Nhất,13841.000000000004,True,55
37,74,Lượt về: Sân bay Tân Sơn Nhất - Bến Thành - Khu dân cư Trung Sơn,Khu dân cư Trung Sơn,152,Sân bay Tân Sơn Nhất,Khu dân cư Trung Sơn,13454.999999999998,False,55
38,77,Lượt đi: Bến xe Chợ Lớn - Bến xe Tân Phú,Bến xe buýt Tân Phú,16,Bến xe buýt Chợ Lớn - B,Bến xe buýt Tân Phú,16860.0,True,55
38,78,Lượt về: Bến xe Tân Phú - Bến xe Chợ Lớn,Bến xe buýt Chợ Lớn,16,Bến xe buýt Tân Phú,Bến xe buýt Chợ Lớn - B,17621.999999999993,False,55
40,79,Lượt đi: Bến Thành - Hiệp Thành,Chợ Hiệp Thành,18,Bến xe buýt Sài Gòn,Bến xe buýt Hiệp Thành,22903.00000000001,True,75
40,80,Lượt về: Hiệp Thành - Bến Thành,Bến Thành,18,Bến xe buýt Hiệp Thành,Bến xe buýt Sài Gòn,22646.0,False,75
41,81,Lượt đi: Bến xe buýt Sài Gòn - Đại học Quốc gia,Đại Học Quốc Gia,19,Bến xe buýt Sài Gòn,Đại học Quốc gia,27836.000000000004,True,80
41,82,Lượt về: Đại học Quốc gia - Bến xe buýt Sài Gòn,Bến Thành,19,Đại học Quốc gia,Bến xe buýt Sài Gòn,27413.000000000007,False,80
42,83,Lượt đi: Bến xe buýt Sài Gòn - Bình Khánh,Nhà Bè,20,Bến xe buýt Sài Gòn,Bến xe buýt Bình Khánh,16878.999999999996,True,50
42,84,Lượt về: Bình Khánh - Bến xe buýt Sài Gòn,Bến Thành,20,Bến xe buýt Bình Khánh,Bến xe buýt Sài Gòn,17368.0,False,50
43,85,Lượt đi: Bến Xe Quận 8 - KCN Lê Minh Xuân,Khu công nghiệp Lê Minh Xuân,22,Bến xe buýt Quận 8,KCN LÊ MINH XUÂN,23025.0,True,65
43,86,Lượt về: KCN Lê Minh Xuân - Bến Xe Quận 8,Bến Xe buýt Quận 8,22,KCN LÊ MINH XUÂN,Bến xe buýt Quận 8,24706.0,False,65
44,87,Lượt đi: Bến xe buýt Chợ Lớn B -  Bến xe buýt Cầu Lớn,Cầu Lớn,23,Bến xe buýt Chợ Lớn - B,Bến xe buýt Cầu Lớn,23236.0,True,75
44,88,Lượt về: Bến xe buýt Cầu Lớn - Bến xe buýt Chợ Lớn - B,Bến xe buýt Chợ Lớn,23,Bến xe buýt Cầu Lớn,Bến xe buýt Chợ Lớn - B,23190.999999999996,False,75
45,89,Lượt đi: Bến xe Miền Đông - Bãi xe buýt 19/5,Hóc Môn,24,Bến xe Miền Đông,Bãi xe buýt 19/5,26288.0,True,75
45,90,Lượt về: Bãi xe buýt 19/5 - Bến xe Miền Đông,Bến Xe Miền Đông,24,Bãi xe buýt 19/5,Bến xe Miền Đông,26509.99999999999,False,75
46,91,Lượt đi: Bến xe Quận 8 - KDC VĨNH LỘC A,Khu dân cư Vĩnh Lộc A,25,Bến xe buýt Quận 8,KDC VĨNH LỘC A,22120.999999999996,True,60
46,92,Lượt về: KDC VĨNH LỘC A - Bến xe Quận 8,Bến Xe buýt Quận 8,25,KDC VĨNH LỘC A,Bến xe buýt Quận 8,22140.999999999993,False,60
48,95,Lượt đi: Bến xe buýt Sài Gòn - Bến xe An Sương,Bến xe An Sương,27,Bến xe buýt Sài Gòn,Bến xe An Sương,16070.0,True,65
48,96,Lượt về: Bến xe An Sương - Bến xe buýt Sài Gòn,Bến xe buýt Sài Gòn,27,Bến xe An Sương,Bến xe buýt Sài Gòn,15146.0,False,65
49,99,Lượt về: Chợ Xuân Thới Thượng - Bến Thành (tạm điều chỉnh),Bến xe buýt Sài Gòn,28,Xuân Thới Thượng,Bến xe buýt Sài Gòn,25517.999999999996,False,90
49,100,Lượt đi: Bến Thành - Chợ Xuân Thới Thượng (tạm điều chỉnh),Chợ Xuân Thới Thượng,28,Bến xe buýt Sài Gòn,Xuân Thới Thượng,26311.0,True,90
50,99,Lượt đi: Bến Phà Cát Lái - Chợ Nông Sản Thủ Đức,Chợ nông sản Thủ Đức,29,Cát Lái,Chợ nông sản Thủ Đức,20260.000000000004,True,70
50,100,Lượt về: Chợ Nông Sản Thủ Đức - Bến Phà Cát Lái,Phà Cát Lái,29,Chợ nông sản Thủ Đức,Cát Lái,21702.0,False,70
51,2,Lượt về: ĐH Quốc tế - Tân Hương,Chợ Tân Hương,30,Đường nội bộ Đại học Quốc gia,Cư xá Nhiêu Lộc,33671.00000000001,False,95
51,3,Lượt đi: Tân Hương - ĐH Quốc Tế,Đại học Quốc tế,30,Cư xá Nhiêu Lộc,Đường nội bộ Đại học Quốc gia,32125.0,True,95
52,1,Lượt đi: Đại học Tôn Đức Thắng - Đại học Văn Lang,Đại Học Văn Lang,31,Đại học Tôn Đức Thắng,Công viên Đặng Thùy Trâm,22459.0,True,80
52,2,Lượt về: Đại học Văn Lang - Đại học Tôn Đức Thắng,Đại Học Tôn Đức Thắng,31,Công viên Đặng Thùy Trâm,Đại học Tôn Đức Thắng,21339.0,False,80
53,105,Lượt đi: Bến xe Miền Tây - Bến xe Ngã tư Ga,Bến Xe Ngã Tư Ga,32,Bến xe Miền Tây,Bến xe Ngã tư Ga,25122.0,True,80
53,106,Lượt về: Bến xe Ngã tư Ga - Bến xe Miền Tây,Bến Xe Miền Tây,32,Bến xe Ngã tư Ga,Bến xe Miền Tây,25890.0,False,80
54,1,Lượt đi: Bến xe An Sương - Bến Xe Buýt ÐH Quốc Gia,Đại học Quốc Gia,33,Bến xe An Sương,Bến Xe Buýt ÐH Quốc Gia,29487.000000000004,True,55
54,2,Lượt về: Bến Xe Buýt ÐH Quốc Gia - Bến xe An Sương,Bến Xe An Sương,33,Bến Xe Buýt ÐH Quốc Gia,Bến xe An Sương,28709.0,False,55
55,1,Lượt đi: Bến xe buýt Sài Gòn - Bến xe buýt Quận 8,Bến xe buýt Quận 8,34,Bến xe buýt Sài Gòn,Bến xe buýt Quận 8,19763.0,True,60
55,2,Lượt về: Bến xe buýt Quận 8 - Bến xe buýt Sài Gòn,Bến xe buýt Sài Gòn,34,Bến xe buýt Quận 8,Bến xe buýt Sài Gòn,21531.000000000007,False,60
57,113,Lượt đi: Bến xe buýt Sài Gòn - Bến xe buýt Thới An,Thới An,36,Bến xe buýt Sài Gòn,Bến xe buýt Thới An,19419.999999999996,True,70
57,114,Lượt về: Bến xe buýt Thới An - Bến xe buýt Sài Gòn,Bến Thành,36,Bến xe buýt Thới An,Bến xe buýt Sài Gòn,18953.999999999985,False,70
59,117,Lượt đi: Đầu bến Tân Quy - Bến xe buýt Đầm Sen,Đầm Sen,38,Đầu bến Tân Quy,Bến xe buýt Đầm Sen,16647.999999999996,True,70
59,118,Lượt về: Bến xe buýt Đầm Sen - Đầu bến Tân Quy,Khu dân cư Tân Quy,38,Bến xe buýt Đầm Sen,Đầu bến Tân Quy,16956.0,False,70
60,3,Lượt đi: Bến xe buýt Sài Gòn - Bến xe Miền Tây,Bến Xe Miền Tây,39,Bến xe buýt Sài Gòn,Bến xe Miền Tây,17831.999999999996,True,55
60,4,Lượt về: Bến xe Miền Tây - Bến xe buýt Sài Gòn,Bến Xe Buýt Sài Gòn,39,Bến xe Miền Tây,Bến xe buýt Sài Gòn,18129.0,False,55
62,123,Lượt đi: Bến xe Miền Tây - Bến xe An Sương,Bến xe An Sương,41,Bến xe Miền Tây,Bến xe An Sương,22416.0,True,60
62,124,Lượt về: Bến xe An Sương - Bến xe Miền Tây,Bến xe Miền Tây,41,Bến xe An Sương,Bến xe Miền Tây,21739.0,False,60
64,127,Lượt đi: Bến xe Miền Đông - Cát Lái,Phà Cát Lái,43,Bến xe Miền Đông,Cát Lái,14397.0,True,50
64,128,Lượt về: Cát Lái - Bến xe Miền Đông,Bến xe Miền Đông,43,Cát Lái,Bến xe Miền Đông,16052.0,False,50
65,129,Lượt đi: Cảng Quận 4 - Bến đò Bình Quới,Bình Quới,44,Bến xe buýt Kho Muối,Bến đò Bình Quới,15852.0,True,60
65,130,Lượt về: Bến đò Bình Quới - Cảng Quận 4,Cảng Quận 4,44,Bến đò Bình Quới,Bến xe buýt Kho Muối,16280.999999999998,False,60
66,1,Lượt đi: Đại học Kinh Tế - Bến xe Miền Đông,Bến xe Miền Đông,45,Đại học Kinh Tế TP.HCM (Cơ sở Nguyễn Văn Linh),Bến xe Miền Đông,22345.000000000004,True,90
66,2,Lượt về: Bến xe Miền Đông - Đại học Kinh Tế,Bến xe buýt Quận 8,45,Bến xe Miền Đông,Đại học Kinh Tế TP.HCM (Cơ sở Nguyễn Văn Linh),23195.00000000001,False,80
67,133,Lượt đi: Bến xe buýt Kho Muối - Mễ Cốc,Bến Mễ Cốc,46,Bến xe buýt Kho Muối,Mễ Cốc,16869.000000000004,True,65
67,134,Lượt về: Mễ Cốc - Bến xe buýt Kho Muối,Công viên Tôn Thất Thuyết,46,Mễ Cốc,Bến xe buýt Kho Muối,21719.0,False,65
68,1,Lượt đi: Bến xe Chợ Lớn - Hưng Long,Hưng Long,47,Bến xe Chợ Lớn,Hưng Long,17132.999999999996,True,50
68,2,Lượt về: Hưng Long - Bến xe Chợ Lớn,Bến xe buýt Chợ Lớn,47,Hưng Long,Bến xe Chợ Lớn,17138.000000000004,False,50
69,1,Lượt đi: Bến xe Tân Phú - Hiệp Thành,Chợ Hiệp Thành,48,Bến xe buýt Tân Phú,Bến xe buýt Hiệp Thành,21136.0,True,55
69,2,Lượt về: Hiệp Thành - Bến xe Tân Phú,Bến xe buýt Tân Phú,48,Bến xe buýt Hiệp Thành,Bến xe buýt Tân Phú,21698.000000000007,False,55
70,1,Lượt đi: ĐH Bách Khoa TP HCM - Đầu bến Đại học Bách Khoa - Cơ sở 2,Đại học Quốc gia,50,ĐH BÁCH KHOA TP HCM,Đầu bến Đại học Bách Khoa - Cơ sở 2,28316.999999999996,True,65
70,2,Lượt về: Đầu bến Đại học Bách Khoa - Cơ sở 2 - ĐH BÁCH KHOA TP HCM,Đại học Bách khoa,50,Đầu bến Đại học Bách Khoa - Cơ sở 2,ĐH BÁCH KHOA TP HCM,26736.999999999993,False,65
73,1,Lượt đi: Lê Hồng Phong -  Bến Xe Buýt ÐH Quốc Gia,Đại học Quốc gia,53,Lê Hồng Phong,Bến Xe Buýt ÐH Quốc Gia,33622.0,True,85
73,2,Lượt về: Bến Xe Buýt ÐH Quốc Gia - Lê Hồng Phong,Lê Hồng Phong,53,Bến Xe Buýt ÐH Quốc Gia,Lê Hồng Phong,32937.99999999999,False,85
75,1,Lượt đi: Công viên phần mềm Quang Trung - Bến xe Miền Đông mới,Bến xe Miền Đông mới,55,Công viên phần mềm Quang Trung,Bến xe Miền Đông mới,36437.00000000002,True,95
75,2,Lượt về: Bến xe Miền Đông mới - Công viên phần mềm Quang Trung,Công viên phần mềm Quang Trung,55,Bến xe Miền Đông mới,Công viên phần mềm Quang Trung,34547.0,False,95
76,151,Lượt đi: Bến xe Chợ Lớn - Đại học Giao thông Vận tải,Đại học Giao thông Vận tải,56,Bến xe Chợ Lớn,KTX Đại học Sư phạm kỹ thuật,26608.0,True,80
76,152,Lượt về: Đại học Giao thông Vận tải - Bến xe Chợ Lớn,Bến xe buýt Chợ Lớn,56,KTX Đại học Sư phạm kỹ thuật,Bến xe Chợ Lớn,28194.000000000004,False,80
77,153,Lượt đi: Chợ Phước Bình - Trường THPT Hiệp Bình,Trường Trung học Phổ thông Hiệp Bình,57,Chợ Phước Bình,Trường Hiệp Bình,13557.0,True,42
77,154,Lượt về: Trường THPT Hiệp Bình - Chợ Phước Bình,Chợ Phước Bình,57,Trường Hiệp Bình,Chợ Phước Bình,13496.000000000004,False,42
78,1,Lượt đi: BX Ngã tư Ga - KCN Đông Nam,Khu công nghiệp Đông Nam,58,Bến xe Ngã tư Ga,Khu công nghiệp Đông Nam,23733.0,True,60
78,2,Lượt về: KCN Đông Nam - BX Ngã tư Ga,Bến xe Ngã tư Ga,58,Khu công nghiệp Đông Nam,Bến xe Ngã tư Ga,21535.999999999993,False,60
79,157,Lượt đi: Bến xe buýt Quận 8 - Bến xe Ngã tư Ga,Bến xe Ngã 4 Ga,59,Bến xe buýt Quận 8,Bến xe Ngã tư Ga,23702.0,True,97
79,158,Lượt về: Bến xe Ngã tư Ga - Bến xe buýt Quận 8,Bến xe buýt Quận 8,59,Bến xe Ngã tư Ga,Bến xe buýt Quận 8,24563.000000000004,False,97
81,1,Lượt đi: Bến xe Miền Tây - Bến xe Biên Hòa,Bến xe Biên Hòa,60-1,Bến xe Miền Tây,Bến xe Biên Hòa,61778.999999999985,True,120
